County Name,Census_Tract,Average RSEI Concentrations,IBL Rank
n/a,State Total,2852.29,8
Adams,53001950100,0.25,1
Adams,53001950200,0.85,1
Adams,53001950300,28.83,2
Adams,53001950400,14.84,1
Adams,53001950500,26.63,2
Asotin,53003960100,299.46,4
Asotin,53003960200,708.1,5
Asotin,53003960300,978.88,5
Asotin,53003960400,421.93,4
Asotin,53003960500,810.19,5
Asotin,53003960600,634.72,5
Benton,53005010100,61.91,2
Benton,53005010201,75.08,2
Benton,53005010202,75.63,2
Benton,53005010300,67.15,2
Benton,53005010400,42.54,2
Benton,53005010500,45.98,2
Benton,53005010600,75.14,2
Benton,53005010701,23.58,2
Benton,53005010703,22.7,2
Benton,53005010705,67.12,2
Benton,53005010707,43.65,2
Benton,53005010708,35.85,2
Benton,53005010803,147.25,3
Benton,53005010805,138.93,3
Benton,53005010807,19.92,2
Benton,53005010809,112.42,3
Benton,53005010810,116.95,3
Benton,53005010811,78.41,2
Benton,53005010813,350.13,4
Benton,53005010814,76.65,2
Benton,53005010901,192.5,3
Benton,53005010902,131.21,3
Benton,53005011001,155.47,3
Benton,53005011002,162.35,3
Benton,53005011100,314.38,4
Benton,53005011200,351.01,4
Benton,53005011300,251.87,3
Benton,53005011401,183.5,3
Benton,53005011402,244.49,3
Benton,53005011501,505.6,4
Benton,53005011503,393.04,4
Benton,53005011504,134.69,3
Benton,53005011600,22.15,2
Benton,53005011700,23.92,2
Benton,53005011800,21.74,2
Benton,53005011900,39.35,2
Benton,53005012000,0.2,1
Chelan,53007960100,0,1
Chelan,53007960200,0,1
Chelan,53007960300,0,1
Chelan,53007960400,0,1
Chelan,53007960500,0,1
Chelan,53007960600,0,1
Chelan,53007960700,0,1
Chelan,53007960801,0,1
Chelan,53007960802,0,1
Chelan,53007961000,0,1
Chelan,53007961100,0.01,1
Chelan,53007961200,0,1
Chelan,53007961301,0,1
Chelan,53007961302,0,1
Clallam,53009000200,0,1
Clallam,53009000400,0,1
Clallam,53009000600,0.75,1
Clallam,53009000700,11.02,1
Clallam,53009000800,6.22,1
Clallam,53009000900,6.39,1
Clallam,53009001000,11.35,1
Clallam,53009001100,9.15,1
Clallam,53009001200,14.13,1
Clallam,53009001300,10.58,1
Clallam,53009001400,14.36,1
Clallam,53009001500,1.88,1
Clallam,53009001600,16.51,1
Clallam,53009001700,31.16,2
Clallam,53009001800,7.99,1
Clallam,53009001900,51.36,2
Clallam,53009002000,26.72,2
Clallam,53009002100,13.31,1
Clallam,53009002300,22.68,2
Clallam,53009990100,13.31,1
Clark,53011040101,410.96,4
Clark,53011040102,307.86,4
Clark,53011040201,1170.36,6
Clark,53011040202,492.01,4
Clark,53011040203,667.92,5
Clark,53011040301,232.63,3
Clark,53011040302,1141.24,6
Clark,53011040403,643.37,5
Clark,53011040407,499.88,4
Clark,53011040408,1411.36,6
Clark,53011040409,640.38,5
Clark,53011040411,608.74,5
Clark,53011040412,1580.65,6
Clark,53011040413,399.47,4
Clark,53011040414,870.91,5
Clark,53011040415,301.43,4
Clark,53011040416,267.75,4
Clark,53011040504,478.51,4
Clark,53011040505,946.85,5
Clark,53011040507,866.82,5
Clark,53011040508,2825.26,8
Clark,53011040509,1086.48,5
Clark,53011040510,2303.09,7
Clark,53011040511,616.94,5
Clark,53011040603,1513.17,6
Clark,53011040604,2348.59,7
Clark,53011040605,2256.73,7
Clark,53011040608,2175.04,7
Clark,53011040609,2508.22,7
Clark,53011040610,1784.62,6
Clark,53011040703,3052.58,8
Clark,53011040706,1312.29,6
Clark,53011040707,1358.21,6
Clark,53011040709,2265.37,7
Clark,53011040710,1969.84,7
Clark,53011040711,1039.83,5
Clark,53011040712,2131.27,7
Clark,53011040803,2138.37,7
Clark,53011040805,2230.41,7
Clark,53011040806,2019.1,7
Clark,53011040808,1083.13,5
Clark,53011040809,2330.45,7
Clark,53011040810,1459.05,6
Clark,53011040904,1768.64,6
Clark,53011040905,778.04,5
Clark,53011040907,1594.88,6
Clark,53011040908,1985.14,7
Clark,53011040909,1419.72,6
Clark,53011040910,2387.42,7
Clark,53011041003,1415.11,6
Clark,53011041005,1440.44,6
Clark,53011041007,835.78,5
Clark,53011041008,1054.82,5
Clark,53011041009,1301.5,6
Clark,53011041010,1280.05,6
Clark,53011041011,1549.15,6
Clark,53011041104,1919.43,7
Clark,53011041105,2583.15,7
Clark,53011041107,1478.85,6
Clark,53011041108,3187.45,8
Clark,53011041110,2875.03,8
Clark,53011041111,773.73,5
Clark,53011041112,3056.53,8
Clark,53011041201,3274.75,8
Clark,53011041203,2557.34,7
Clark,53011041205,2317.27,7
Clark,53011041206,2456.91,7
Clark,53011041309,2332.44,7
Clark,53011041310,2258.57,7
Clark,53011041312,2247.01,7
Clark,53011041313,1375.04,6
Clark,53011041317,2062.91,7
Clark,53011041318,2683.49,8
Clark,53011041319,2839.39,8
Clark,53011041320,2635.89,7
Clark,53011041321,1887.04,6
Clark,53011041322,2653.26,7
Clark,53011041323,2167.71,7
Clark,53011041325,3402.65,8
Clark,53011041326,1343.18,6
Clark,53011041327,4317.09,9
Clark,53011041328,3598.51,8
Clark,53011041329,2400.28,7
Clark,53011041330,2016.3,7
Clark,53011041331,1432.47,6
Clark,53011041332,1502.85,6
Clark,53011041333,1204.93,6
Clark,53011041400,3374.42,8
Clark,53011041500,1630.12,6
Clark,53011041600,2234.37,7
Clark,53011041700,1435.84,6
Clark,53011041800,1501.03,6
Clark,53011041900,865.16,5
Clark,53011042000,642.66,5
Clark,53011042100,1414.52,6
Clark,53011042300,1127.31,6
Clark,53011042400,709.8,5
Clark,53011042500,617.95,5
Clark,53011042600,2737.09,8
Clark,53011042700,1441.25,6
Clark,53011042800,1451.21,6
Clark,53011042900,846.53,5
Clark,53011043000,870.23,5
Clark,53011043100,1864.18,6
Columbia,53013960200,0.06,1
Cowlitz,53015000300,3135.97,8
Cowlitz,53015000400,3066.26,8
Cowlitz,53015000501,2984.26,8
Cowlitz,53015000502,5648.69,9
Cowlitz,53015000601,3088.21,8
Cowlitz,53015000602,2410.54,7
Cowlitz,53015000702,1716.13,6
Cowlitz,53015000703,907.27,5
Cowlitz,53015000704,2857.99,8
Cowlitz,53015000800,2359.72,7
Cowlitz,53015000900,1541.71,6
Cowlitz,53015001000,497.13,4
Cowlitz,53015001100,2826.86,8
Cowlitz,53015001200,1750.55,6
Cowlitz,53015001300,1154.15,6
Cowlitz,53015001501,464.98,4
Cowlitz,53015001502,2362.42,7
Cowlitz,53015001600,11421.73,10
Cowlitz,53015001700,1372.65,6
Cowlitz,53015001800,85.14,2
Cowlitz,53015001900,1218.47,6
Cowlitz,53015002001,313.21,4
Cowlitz,53015002002,352.51,4
Cowlitz,53015002100,3386.13,8
Douglas,53017950100,0,1
Douglas,53017950200,0.11,1
Douglas,53017950300,0,1
Douglas,53017950400,0,1
Douglas,53017950500,0,1
Douglas,53017950600,0,1
Douglas,53017950700,0,1
Douglas,53017950800,0,1
Ferry,53019940000,0.21,1
Ferry,53019970100,0.33,1
Ferry,53019970200,0,1
Franklin,53021020100,1277.36,6
Franklin,53021020200,345.62,4
Franklin,53021020300,262.39,4
Franklin,53021020400,442.87,4
Franklin,53021020501,152.1,3
Franklin,53021020502,280.69,4
Franklin,53021020601,208.77,3
Franklin,53021020603,133.34,3
Franklin,53021020605,272.19,4
Franklin,53021020606,237.42,3
Franklin,53021020700,153.49,3
Franklin,53021020800,6.73,1
Franklin,53021980100,19,1
Garfield,53023970300,27.67,2
Grant,53025010100,1.22,1
Grant,53025010200,21.92,2
Grant,53025010300,9.09,1
Grant,53025010400,16.71,1
Grant,53025010500,1.82,1
Grant,53025010600,2.77,1
Grant,53025010700,11.46,1
Grant,53025010800,29.35,2
Grant,53025010901,23.35,2
Grant,53025010902,91.68,2
Grant,53025011000,178.88,3
Grant,53025011100,49.87,2
Grant,53025011200,12.25,1
Grant,53025011300,14.73,1
Grant,53025011401,2.89,1
Grant,53025011402,21.79,2
Grays Harbor,53027000200,48.12,2
Grays Harbor,53027000300,55.36,2
Grays Harbor,53027000400,237.63,3
Grays Harbor,53027000500,113.66,3
Grays Harbor,53027000600,50.22,2
Grays Harbor,53027000700,50.57,2
Grays Harbor,53027000800,419.25,4
Grays Harbor,53027000900,1387.48,6
Grays Harbor,53027001000,294.39,4
Grays Harbor,53027001100,278.48,4
Grays Harbor,53027001200,291.42,4
Grays Harbor,53027001300,121.86,3
Grays Harbor,53027001400,45.12,2
Grays Harbor,53027001500,67.42,2
Grays Harbor,53027001600,258.11,3
Grays Harbor,53027940000,0.6,1
Grays Harbor,53027990000,0.68,1
Island,53029970100,156.75,3
Island,53029970200,129.08,3
Island,53029970300,289.42,4
Island,53029970400,268.09,4
Island,53029970500,224.96,3
Island,53029970601,97.1,3
Island,53029970602,99.27,3
Island,53029970700,65.09,2
Island,53029970800,77.58,2
Island,53029970900,295.4,4
Island,53029971000,259.71,4
Island,53029971100,324.81,4
Island,53029971300,547.05,4
Island,53029971400,428.96,4
Island,53029971500,333.85,4
Island,53029971600,442.84,4
Island,53029971700,531.87,4
Island,53029971800,444.64,4
Island,53029971900,651.31,5
Island,53029972000,1414.25,6
Island,53029972100,1607,6
Island,53029992201,30.74,2
Jefferson,53031950202,420.71,4
Jefferson,53031950300,1626.44,6
Jefferson,53031950400,681.01,5
Jefferson,53031950500,1921.83,7
Jefferson,53031950601,1232.24,6
Jefferson,53031950602,813.48,5
Jefferson,53031950702,400.56,4
King,53033000100,4447,9
King,53033000200,7088.62,10
King,53033000300,2410.15,7
King,53033000401,4036.39,9
King,53033000402,3909.42,9
King,53033000500,3118.51,8
King,53033000600,8000.67,10
King,53033000700,3635.25,8
King,53033000800,2097.9,7
King,53033000900,2180.96,7
King,53033001000,2156.33,7
King,53033001100,2372.12,7
King,53033001200,5517.41,9
King,53033001300,4290.83,9
King,53033001400,4346.51,9
King,53033001500,2194.53,7
King,53033001600,4392.55,9
King,53033001701,3878.29,9
King,53033001702,4404.25,9
King,53033001800,4313.61,9
King,53033001900,4274.02,9
King,53033002000,3583.2,8
King,53033002100,3413.18,8
King,53033002200,4621.35,9
King,53033002400,2206.48,7
King,53033002500,2676.16,7
King,53033002600,3797.71,9
King,53033002700,5360.89,9
King,53033002800,4187.25,9
King,53033002900,4517.68,9
King,53033003000,6341.15,10
King,53033003100,6772.91,10
King,53033003200,9559.1,10
King,53033003300,7729.27,10
King,53033003400,4153.18,9
King,53033003500,5312.4,9
King,53033003600,5013.19,9
King,53033003800,1835.03,6
King,53033003900,2377.66,7
King,53033004000,2635.17,7
King,53033004100,5767.61,9
King,53033004200,6549.16,10
King,53033004301,3802.37,9
King,53033004302,3065.8,8
King,53033004400,4775.1,9
King,53033004500,3367.6,8
King,53033004600,6442.58,10
King,53033004700,9228.77,10
King,53033004800,7538.6,10
King,53033004900,7253.22,10
King,53033005000,4619.61,9
King,53033005100,4825.2,9
King,53033005200,6213.07,9
King,53033005301,4142.63,9
King,53033005302,8654.33,10
King,53033005400,8881.53,10
King,53033005600,10882.27,10
King,53033005700,10040.43,10
King,53033005801,7467.78,10
King,53033005802,16384.57,10
King,53033005900,9799.17,10
King,53033006000,8709.33,10
King,53033006100,6631.8,10
King,53033006200,4944.25,9
King,53033006300,4032.02,9
King,53033006400,4092.47,9
King,53033006500,8021.53,10
King,53033006600,8049.97,10
King,53033006700,12832.47,10
King,53033006800,7293.62,10
King,53033006900,6965.2,10
King,53033007000,11436.63,10
King,53033007100,17846.7,10
King,53033007200,22791.83,10
King,53033007300,18818.1,10
King,53033007401,4825.33,9
King,53033007402,5188.61,9
King,53033007500,12326.03,10
King,53033007600,5551.27,9
King,53033007700,5866.31,9
King,53033007800,6265.83,9
King,53033007900,6925.79,10
King,53033008001,18415.23,10
King,53033008002,4230.47,9
King,53033008100,19308.27,10
King,53033008200,9451.8,10
King,53033008300,6538.98,10
King,53033008400,9476.83,10
King,53033008500,12569.1,10
King,53033008600,12199.3,10
King,53033008700,7654.03,10
King,53033008800,5693.73,9
King,53033008900,8494.9,10
King,53033009000,8076.51,10
King,53033009100,10496.33,10
King,53033009200,10599.23,10
King,53033009300,85378.63,10
King,53033009400,21487.4,10
King,53033009500,21512.8,10
King,53033009600,46512.13,10
King,53033009701,20296.1,10
King,53033009702,34599.53,10
King,53033009800,56002.63,10
King,53033009900,113581.33,10
King,53033010001,51849.07,10
King,53033010002,37491.4,10
King,53033010100,35305.97,10
King,53033010200,14810.7,10
King,53033010300,24280.37,10
King,53033010401,32194.87,10
King,53033010402,38333.57,10
King,53033010500,26275.07,10
King,53033010600,23884.57,10
King,53033010701,20560.17,10
King,53033010702,11413.6,10
King,53033010800,38255.53,10
King,53033010900,13249.5,10
King,53033011001,23613.8,10
King,53033011002,23905.13,10
King,53033011101,18280.6,10
King,53033011102,12232.27,10
King,53033011200,16048,10
King,53033011300,22329.6,10
King,53033011401,12403.57,10
King,53033011402,7600.17,10
King,53033011500,9619.63,10
King,53033011600,11933,10
King,53033011700,20840.2,10
King,53033011800,20091.57,10
King,53033011900,14746.5,10
King,53033012000,4377.8,9
King,53033012100,3258.81,8
King,53033020100,1629.86,6
King,53033020200,3656.08,8
King,53033020300,3536.62,8
King,53033020401,2200.67,7
King,53033020402,3076.36,8
King,53033020500,3779.32,8
King,53033020600,2588.41,7
King,53033020700,2553.7,7
King,53033020800,2629.18,7
King,53033020900,2865.99,8
King,53033021000,4300.05,9
King,53033021100,3280.48,8
King,53033021300,2468.45,7
King,53033021400,2264.44,7
King,53033021500,2526.68,7
King,53033021600,2710.95,8
King,53033021700,6948.78,10
King,53033021802,4148.55,9
King,53033021803,3247.65,8
King,53033021804,3383.13,8
King,53033021903,3491.55,8
King,53033021904,3475.42,8
King,53033021905,3514.48,8
King,53033021906,2642.48,7
King,53033022001,3957.37,9
King,53033022003,3346.56,8
King,53033022005,3698.6,8
King,53033022006,2843.62,8
King,53033022101,2912.74,8
King,53033022102,4629.36,9
King,53033022201,2833.32,8
King,53033022202,5243.6,9
King,53033022203,4972.35,9
King,53033022300,3108.37,8
King,53033022400,19209.97,10
King,53033022500,51042.37,10
King,53033022603,3569.27,8
King,53033022604,4001.3,9
King,53033022605,2810.45,8
King,53033022606,3991.61,9
King,53033022701,3286.34,8
King,53033022702,8997.63,10
King,53033022703,4761.64,9
King,53033022801,4768.85,9
King,53033022802,2830.97,8
King,53033022803,5606.28,9
King,53033022901,1692.19,6
King,53033022902,3682.34,8
King,53033023000,3930.59,9
King,53033023100,2341.87,7
King,53033023201,2781.09,8
King,53033023202,3116.38,8
King,53033023300,2996.56,8
King,53033023401,2274.66,7
King,53033023403,1906.13,7
King,53033023404,1498.18,6
King,53033023500,1781.89,6
King,53033023601,2905.65,8
King,53033023603,3552.4,8
King,53033023604,3148.3,8
King,53033023700,4014.46,9
King,53033023801,2680.82,8
King,53033023803,1956.47,7
King,53033023804,4043.63,9
King,53033023900,4708.34,9
King,53033024000,5843.98,9
King,53033024100,3526.91,8
King,53033024200,2164.21,7
King,53033024300,6168.12,9
King,53033024400,2137.84,7
King,53033024500,4259.86,9
King,53033024601,6558.06,10
King,53033024602,6619.95,10
King,53033024701,2959.56,8
King,53033024702,9192.67,10
King,53033024800,2948.9,8
King,53033024901,3354.36,8
King,53033024902,2004.44,7
King,53033024903,4637.43,9
King,53033025001,4328.55,9
King,53033025003,3793.05,9
King,53033025005,6261.06,9
King,53033025006,4861.22,9
King,53033025101,7588.27,10
King,53033025102,11685.93,10
King,53033025200,14539.73,10
King,53033025301,9521,10
King,53033025302,8433.83,10
King,53033025400,9655.33,10
King,53033025500,6414.93,10
King,53033025601,7945.77,10
King,53033025602,8886.4,10
King,53033025701,6122.75,9
King,53033025702,3585.57,8
King,53033025803,3326.46,8
King,53033025804,3910.39,9
King,53033025805,5606.92,9
King,53033025806,5736.54,9
King,53033026001,9141.6,10
King,53033026002,9339.97,10
King,53033026100,15939.67,10
King,53033026200,10398.97,10
King,53033026300,7399.92,10
King,53033026400,20796.77,10
King,53033026500,9997.9,10
King,53033026600,5919.1,9
King,53033026700,8728.97,10
King,53033026801,9725.4,10
King,53033026802,11328.93,10
King,53033027000,8620.97,10
King,53033027100,8331.73,10
King,53033027200,7273.15,10
King,53033027300,12239.67,10
King,53033027400,11802.77,10
King,53033027500,9602.4,10
King,53033027600,7929.9,10
King,53033027701,3017.29,8
King,53033027702,1971.45,7
King,53033027800,2746.06,8
King,53033027900,8855.63,10
King,53033028000,4311.79,9
King,53033028100,4777.62,9
King,53033028200,8822.33,10
King,53033028300,7305.4,10
King,53033028402,8568.33,10
King,53033028403,5888.1,9
King,53033028500,4900.09,9
King,53033028600,7940.9,10
King,53033028700,4046.52,9
King,53033028801,4136.66,9
King,53033028802,5080.62,9
King,53033028901,2999.23,8
King,53033028902,4626.48,9
King,53033029001,3291.64,8
King,53033029003,4501.47,9
King,53033029004,2300.29,7
King,53033029101,5130.94,9
King,53033029102,3007.29,8
King,53033029203,3325.25,8
King,53033029204,7785.91,10
King,53033029205,4010.99,9
King,53033029206,5265.06,9
King,53033029303,7649.1,10
King,53033029304,5545.88,9
King,53033029305,3551.24,8
King,53033029306,3679.25,8
King,53033029307,3130.51,8
King,53033029403,4910.65,9
King,53033029405,4429.05,9
King,53033029406,4315.05,9
King,53033029407,3351.12,8
King,53033029408,3440.7,8
King,53033029502,4997.81,9
King,53033029503,5446.23,9
King,53033029504,4843.51,9
King,53033029601,5429.77,9
King,53033029602,4589.31,9
King,53033029700,6384.8,10
King,53033029801,6767.4,10
King,53033029802,7801.3,10
King,53033029901,2879.53,8
King,53033029902,2986.85,8
King,53033030003,5640.63,9
King,53033030004,4965.51,9
King,53033030005,3736.99,8
King,53033030006,1999.83,7
King,53033030100,4272.11,9
King,53033030201,3181.15,8
King,53033030202,3785.25,9
King,53033030304,2171.59,7
King,53033030305,2567.56,7
King,53033030306,3020.67,8
King,53033030308,3068.1,8
King,53033030309,2677,7
King,53033030310,3626.86,8
King,53033030311,2942.84,8
King,53033030312,2510.97,7
King,53033030313,1889.06,6
King,53033030314,2457.51,7
King,53033030401,5671.3,9
King,53033030403,2221.29,7
King,53033030404,2350.76,7
King,53033030501,1699.62,6
King,53033030503,1974.05,7
King,53033030504,2027.33,7
King,53033030600,2860.64,8
King,53033030700,1557.98,6
King,53033030801,4192.43,9
King,53033030802,1644.48,6
King,53033030901,1941.8,7
King,53033030902,2896.79,8
King,53033031000,2303.78,7
King,53033031100,3199.67,8
King,53033031202,2404.38,7
King,53033031204,2989,8
King,53033031205,5597.13,9
King,53033031206,2956.64,8
King,53033031301,797.48,5
King,53033031302,735.53,5
King,53033031400,3038.97,8
King,53033031501,1304.1,6
King,53033031502,763.54,5
King,53033031601,2476.34,7
King,53033031603,3522.25,8
King,53033031604,2860.69,8
King,53033031605,1905.71,7
King,53033031703,4451.17,9
King,53033031704,3827.85,9
King,53033031705,2409.1,7
King,53033031706,4570.47,9
King,53033031800,4971.32,9
King,53033031903,5862.53,9
King,53033031904,2490.19,7
King,53033031906,3454.44,8
King,53033031907,6896.19,10
King,53033031908,2884.83,8
King,53033031909,2329.54,7
King,53033032002,1700.31,6
King,53033032003,2809.18,8
King,53033032005,3165.21,8
King,53033032006,1972.75,7
King,53033032007,1907.08,7
King,53033032008,1496.09,6
King,53033032010,2602.67,7
King,53033032011,2456.36,7
King,53033032102,2151.52,7
King,53033032103,1717.93,6
King,53033032104,3704.34,8
King,53033032203,2935.76,8
King,53033032207,1414.98,6
King,53033032208,4180.82,9
King,53033032210,6997.98,10
King,53033032211,1375.89,6
King,53033032212,2353.2,7
King,53033032213,1599.49,6
King,53033032214,3404.08,8
King,53033032215,2227.47,7
King,53033032307,1647.62,6
King,53033032309,3596.78,8
King,53033032311,1233.26,6
King,53033032313,4134.06,9
King,53033032315,1262.66,6
King,53033032316,2685.76,8
King,53033032317,2527.76,7
King,53033032318,2254.01,7
King,53033032319,2658.13,7
King,53033032320,1706.19,6
King,53033032321,2777.79,8
King,53033032322,982.54,5
King,53033032323,2487.48,7
King,53033032324,2519.68,7
King,53033032325,2077.07,7
King,53033032326,1296.3,6
King,53033032327,1394.06,6
King,53033032328,970.06,5
King,53033032329,2812.53,8
King,53033032401,1093.52,5
King,53033032402,968.23,5
King,53033032500,824.82,5
King,53033032601,492.75,4
King,53033032602,3191.08,8
King,53033032702,1271.05,6
King,53033032703,297.25,4
King,53033032704,943.36,5
King,53033032800,340.99,4
King,53033990100,3780.9,9
Kitsap,53035080101,2846.39,8
Kitsap,53035080102,4799.19,9
Kitsap,53035080200,3347.62,8
Kitsap,53035080300,2526.1,7
Kitsap,53035080400,2968.43,8
Kitsap,53035080500,3280.38,8
Kitsap,53035080600,12640.38,10
Kitsap,53035080700,10950.03,10
Kitsap,53035080800,1447.39,6
Kitsap,53035080900,8952.08,10
Kitsap,53035081000,19506.2,10
Kitsap,53035081100,36868.7,10
Kitsap,53035081200,12644.41,10
Kitsap,53035081400,32203.67,10
Kitsap,53035090101,2262.11,7
Kitsap,53035090102,3286.51,8
Kitsap,53035090201,2523.9,7
Kitsap,53035090202,2888.85,8
Kitsap,53035090300,4750.51,9
Kitsap,53035090400,4537.81,9
Kitsap,53035090501,2920.64,8
Kitsap,53035090502,3677.24,8
Kitsap,53035090700,5560.15,9
Kitsap,53035090800,5722.82,9
Kitsap,53035090900,13829.43,10
Kitsap,53035091000,9565.2,10
Kitsap,53035091100,5457.24,9
Kitsap,53035091201,2940.82,8
Kitsap,53035091203,5734.63,9
Kitsap,53035091204,2632.01,7
Kitsap,53035091301,2428.22,7
Kitsap,53035091302,4269.2,9
Kitsap,53035091400,3121.83,8
Kitsap,53035091500,4088.7,9
Kitsap,53035091600,5516.81,9
Kitsap,53035091700,8108.73,10
Kitsap,53035091800,3544,8
Kitsap,53035091900,3853.33,9
Kitsap,53035092000,2437.06,7
Kitsap,53035092100,5568.01,9
Kitsap,53035092200,14015.88,10
Kitsap,53035092300,10902.05,10
Kitsap,53035092400,7585.09,10
