Scat ID,Previous ID,Collected by,Date,Month,Site,City,Latitude,Longitude,% Certain,Freshness,Weather,Condition,Notes,Anal jelly? (for otter)
LC145,UCP244,YH,6/22/2022,6,DSS,Seattle,47.51403,-122.30568,100,B,Sunny,,,
LC146,UCP245,YH,6/22/2022,6,DSS,Seattle,47.51403,-122.30568,100,B,Sunny,,,
LC147,UCP246,YH,6/22/2022,6,DSS,Seattle,47.51403,-122.30568,100,C,Sunny,,,
LC148,UCP248,YH,6/22/2022,6,DSS,Seattle,47.51415,-122.30576,100,A,Sunny,,anal jelly only,Yes
LC149,UCP251,YH,6/23/2022,6,LNM,Seattle,47.60455,-122.28269,100,C,Sunny,,,
LC150,UCP252,YH,6/23/2022,6,LNM,Seattle,47.60455,-122.28269,100,C,Sunny,,,
LC151,UCP253,YH,6/23/2022,6,LNM,Seattle,47.60455,-122.28269,100,C,Sunny,,,
LC152,UCP254,YH,6/23/2022,6,LNM,Seattle,47.60455,-122.28269,100,C,Sunny,,,
LC153,UCP255,YH,6/23/2022,6,LNM,Seattle,47.60455,-122.28269,100,C,Sunny,,,
LC154,UCP256,YH,6/23/2022,6,LNM,Seattle,47.60455,-122.28269,100,C,Sunny,,,
LC155,UCP257,YH,6/23/2022,6,LNM,Seattle,47.60455,-122.28269,100,C,Sunny,,,
LC156,UCP258,YH,6/23/2022,6,LNM,Seattle,47.60455,-122.28271,100,C,Sunny,,,
LC157,UCP259,YH,6/23/2022,6,LNM,Seattle,47.60455,-122.28271,100,B,Sunny,,,
LC158,UCP260,YH,6/23/2022,6,LNM,Seattle,47.60455,-122.28271,100,B,Sunny,fishy/crust,,
LC159,UCP261,YH,6/23/2022,6,LNM,Seattle,47.60455,-122.28271,100,C,Sunny,bleached but not super old,,
LC160,UCP262,YH,6/23/2022,6,LNM,Seattle,47.60455,-122.28271,100,B,Sunny,,,
LC161,UCP263,YH,6/23/2022,6,LNM,Seattle,47.60434,-122.28277,100,C,Sunny,,,
LC162,UCP264,YH,6/23/2022,6,LNM,Seattle,47.60434,-122.28277,100,B,Sunny,,,
LC163,UCP265,YH,6/23/2022,6,LNM,Seattle,47.60434,-122.28277,100,B,Sunny,,,
LC164,UCP266,YH,6/23/2022,6,LNM,Seattle,47.60434,-122.28277,100,B,Sunny,,,
LC165,UCP272,YH,6/29/2022,6,CBM,Bellevue,47.60957,-122.20941,100,A,Sunny,,anal jelly,Yes
LC166,UCP273,YH,6/29/2022,6,CBM,Bellevue,47.60957,-122.20941,100,A,Sunny,,,
LC167,UCP274,YH,6/29/2022,6,CBM,Bellevue,47.60957,-122.20941,100,A,Sunny,,,
LC168,UCP275,YH,6/29/2022,6,CBM,Bellevue,47.60957,-122.20941,100,A,Sunny,,,
LC169,UCP276,YH,6/29/2022,6,CBM,Bellevue,47.60957,-122.20941,100,C,Sunny,,,
LC170,UCP322,YH,7/18/2022,7,GGC,Bellevue,47.60659,-122.16223,100,B,Sunny,,,
LC171,UCP308,YH,7/12/2022,7,RVL,Bellevue,47.59091,-122.16162,100,C,Sunny,,,
LC172,UCP309,YH,7/12/2022,7,RVL,Bellevue,47.59091,-122.16162,100,C,Sunny,,,
LC173,UCP310,YH,7/12/2022,7,RVL,Bellevue,47.59091,-122.16162,100,C,Sunny,,,
LC174,UCP311,YH,7/12/2022,7,RVL,Bellevue,47.59091,-122.16162,100,C,Sunny,,,
LC175,UCP321,YH,7/18/2022,7,GGC,Bellevue,47.60659,-122.16223,100,C,Sunny,rained on,,
LC176,UCP001,YH,1/6/2022,1,WPA,Seattle,47.64598,-122.29378,100,,,,formerly ott 001-005,
LC177,UCP002,YH,1/6/2022,1,WPA,Seattle,47.64598,-122.29378,100,,,,,
LC178,UCP003,YH,1/6/2022,1,WPA,Seattle,47.64598,-122.29378,100,,,,,
LC179,UCP004,YH,1/6/2022,1,WPA,Seattle,47.64598,-122.29378,100,,,,,
LC180,UCP005,YH,1/6/2022,1,WPA,Seattle,47.64598,-122.29378,100,,,,,
LC181,UCP006,YH,1/27/2022,1,FGL,Tukwila,47.47996,-122.25658,100,,,,formerly YH-001-ott,
LC182,UCP007,YH,1/27/2022,1,CWG,Kent,47.38808,-122.27296,100,,,,formerly YH-003-ott,
LC183,UCP009,YH,1/27/2022,1,CWG,Kent,47.38853,-122.27325,70,,,,formerly YH-002-ott,
LC184,UCP017,YH,2/24/2022,2,WPA,Seattle,47.64592,-122.29356,100,,,,,
LC185,UCP018,YH,2/24/2022,2,WPA,Seattle,47.6462,-122.29434,100,,,,,
LC186,UCP019,YH,2/24/2022,2,WPA,Seattle,47.6462,-122.29434,100,,,,,
LC187,UCP020,YH,2/24/2022,2,WPA,Seattle,47.6462,-122.29434,100,,,,,
LC188,UCP021,YH,2/24/2022,2,WPA,Seattle,47.64609,-122.29411,100,,,,,
LC189,UCP022,YH,2/24/2022,2,WPA,Seattle,47.64609,-122.29411,100,,,,,
LC190,UCP023,YH,2/24/2022,2,WPA,Seattle,47.64609,-122.29411,100,,,,,
LC191,UCP024,YH,2/24/2022,2,WPA,Seattle,47.64609,-122.29411,100,,,,,
LC192,UCP025,YH,2/24/2022,2,WPA,Seattle,47.64609,-122.29411,100,,,,,
LC193,UCP026,YH,2/24/2022,2,WPA,Seattle,47.646,-122.29379,100,,,,,
LC194,UCP027,YH,2/24/2022,2,WPA,Seattle,47.646,-122.29379,100,,,,,
LC195,UCP028,YH,2/24/2022,2,WPA,Seattle,47.646,-122.29379,100,,,,,
LC196,UCP029,YH,2/24/2022,2,WPA,Seattle,47.646,-122.29379,100,,,,,
LC197,UCP031,YH,3/9/2022,3,BSW,Seattle,47.6526,-122.31753,100,C,,,,
LC198,UCP033,YH,3/9/2022,3,BSW,Seattle,47.6526,-122.31753,100,C,,,,
LC199,UCP038,YH,3/16/2022,3,MBB,Seattle,47.5802,-122.28406,100,C,,,,
LC200,UCP039,YH,3/16/2022,3,MBB,Seattle,47.58019,-122.28406,100,C,,,,
LC201,UCP040,YH,3/16/2022,3,MBB,Seattle,47.5802,-122.28406,100,C,,,,
LC202,UCP041,YH,3/16/2022,3,MBB,Seattle,47.58021,-122.28402,100,A,,,,
LC203,UCP056,YH,3/16/2022,3,MBB,Seattle,47.58025,-122.28403,100,C,,,,
LC204,UCP049,YH,3/29/2022,3,WNP,Hunts Point,47.64027,-122.2244,100,A,,,,
LC205,UCP059,YH,3/29/2022,3,WNP,Hunts Point,47.64026,-122.22445,100,C,,,,
LC206,UCP036,YH,4/4/2022,4,MBB,Seattle,47.58021,-122.28404,100,C,,,,
LC207,UCP048,YH,4/4/2022,4,MBB,Seattle,47.58022,-122.28406,100,B,,,,
LC208,UCP050,YH,4/4/2022,4,LBP,Mercer Island,47.59292,-122.22504,80,C,,,,
LC209,UCP051,YH,4/4/2022,4,LBP,Mercer Island,47.59287,-122.22504,100,C,,,,
LC210,UCP054,YH,4/4/2022,4,LBP,Mercer Island,47.59291,-122.22506,100,,,,,
LC211,UCP058,YH,4/4/2022,4,LBP,Mercer Island,47.59291,-122.22504,100,C,,,,
LC212,UCP045,YH,4/6/2022,4,BSW,Seattle,47.65247,-122.31758,100,A,,,,
LC213,UCP035,YH,4/6/2022,4,WPA,Seattle,47.64609,-122.29411,100,C,,,,
LC214,UCP037,YH,4/6/2022,4,BSW,Seattle,47.65259,122.31757,100,B,,,,
LC215,UCP043,YH,4/6/2022,4,WPA,Seattle,47.64609,-122.29411,100,C,,,,
LC216,UCP044,YH,4/6/2022,4,BSW,Seattle,47.65249,-122.31758,100,A,,,,
LC217,UCP046,EL,4/6/2022,4,WPA,Seattle,47.64607,-122.29401,100,C,,,,
LC218,UCP120,YH,4/6/2022,4,GGC,Bellevue,47.60652,-122.16222,100,A,,rained on,anal jelly,Yes
LC219,UCP123,YH,4/6/2022,4,GGC,Bellevue,47.60649,-122.16217,100,,,,3,
LC220,UCP124,YH,4/6/2022,4,GGC,Bellevue,47.60651,-122.16219,100,,,,2,
LC221,UCP125,EL,4/6/2022,4,BSW,Seattle,47.65252,-122.31757,100,C,,,tiny sample,
LC222,UCP126,EL,4/6/2022,4,BSW,Seattle,47.65252,-122.31757,100,C,,,,
LC223,UCP127,EL,4/6/2022,4,BSW,Seattle,47.65252,-122.31757,100,C,,,,
LC224,UCP128,EL,4/6/2022,4,BSW,Seattle,47.65252,-122.31757,100,B,,,,
LC225,UCP129,EL,4/6/2022,4,BSW,Seattle,47.65252,-122.31757,100,C,,,very hairy,
LC226,UCP135,YH,4/22/2022,4,LBP,Mercer Island,47.59284,-122.22511,100,A,,,,
LC227,UCP136,YH,4/22/2022,4,LBP,Mercer Island,47.59284,-122.22511,100,A,,,,
LC228,UCP137,YH,4/22/2022,4,LBP,Mercer Island,47.59284,-122.22511,100,A,,,,
LC229,UCP138,YH,4/22/2022,4,LBP,Mercer Island,47.59284,-122.22511,100,C,,,,
LC230,UCP139,YH,4/22/2022,4,LBP,Mercer Island,47.59284,-122.22511,100,C,,,,
LC231,UCP140,YH,4/22/2022,4,LBP,Mercer Island,47.59284,-122.22511,100,C,,,,
LC232,UCP142,YH,4/22/2022,4,LWM,Seattle,47.56326,-122.26579,100,B,,,anal jelly,Yes
LC233,UCP143,YH,4/22/2022,4,LWM,Seattle,47.56326,-122.26579,100,B,,,,
LC234,UCP144,YH,4/22/2022,4,LWM,Seattle,47.56326,-122.26579,100,B,,,,
LC235,UCP145,YH,4/22/2022,4,LWM,Seattle,47.56326,-122.26579,100,C,,,,
LC236,UCP146,YH,4/22/2022,4,LWM,Seattle,47.56326,-122.26579,100,C,,,,
LC237,UCP147,YH,4/22/2022,4,LWM,Seattle,47.56326,-122.26579,100,C,,,,
LC238,UCP148,YH,4/22/2022,4,LWM,Seattle,47.56331,-122.26586,100,A,,,,
LC239,UCP149,YH,4/22/2022,4,MBB,Seattle,47.58019,-122.28397,100,B,,,,
LC240,UCP150,YH,4/22/2022,4,LNM,Seattle,47.60445,-122.28263,100,B,,,,
LC241,UCP151,YH,4/22/2022,4,LNM,Seattle,47.60445,-122.28263,100,C,,,,
LC242,UCP152,YH,4/22/2022,4,LNM,Seattle,47.60457,-122.28265,100,A,,,,
LC243,UCP153,YH,4/22/2022,4,LNM,Seattle,47.60457,-122.28265,100,B,,,,
LC244,UCP154,YH,4/22/2022,4,LNM,Seattle,47.60457,-122.28265,100,A,,,anal jelly only,Yes
LC245,UCP155,YH,4/22/2022,4,LNM,Seattle,47.60457,-122.28265,100,C,,,,
LC246,UCP159,YH,4/25/2022,4,WNP,Bellevue,47.64022,-122.22443,,C,,,,
LC247,UCP172,YH,4/25/2022,4,WNP,Bellevue,47.64022,-122.22443,100,C,,,,
LC248,UCP173,YH,4/25/2022,4,WNP,Bellevue,47.64022,-122.22443,100,C,,,,
LC249,UCP174,YH,4/25/2022,4,WNP,Bellevue,47.64022,-122.22443,100,C,,,,
LC250,UCP175,YH,4/25/2022,4,WNP,Bellevue,47.64022,-122.22443,100,C,,,,
LC251,UCP176,YH,4/25/2022,4,WNP,Bellevue,47.64022,-122.22443,100,C,,,,
LC252,UCP183,YH,5/26/2022,5,LNM,Seattle,47.60457083,-122.2827378,,C,,,,
LC253,UCP184,YH,5/26/2022,5,LNM,Seattle,47.60457083,-122.2827378,100,C,,,,
LC254,UCP185,YH,5/26/2022,5,LNM,Seattle,47.60452562,-122.2826829,100,C,,,,
LC255,UCP186,YH,5/26/2022,5,LNM,Seattle,47.60452562,-122.2826829,100,C,,,,
LC256,UCP187,YH,6/1/2022,6,BSW,Seattle,47.65249022,-122.3175526,100,C,,,,
LC257,UCP188,YH,6/1/2022,6,BSW,Seattle,47.65249022,-122.3175526,100,C,,,,
LC258,UCP-OC-16,OC,9/5/2022,9,BSW,Seattle,47.65261,-122.31747,100,C,Sunny,,,No
LC259,UCP-OC-17,OC,9/5/2022,9,BSW,Seattle,47.65261,-122.31747,100,C,Sunny,,,No
LC260,UCP-OC-18,OC,9/5/2022,9,BSW,Seattle,47.65261,-122.31747,100,C,Sunny,,,No
LC261,UCP-OC-19,OC,9/15/2022,9,BSW,Seattle,47.65261,-122.31747,100,,Sunny,,,
LC262,UCP-OC-20,OC,9/15/2022,9,BSW,Seattle,47.65261,-122.31747,100,,Sunny,,,
LC263,UCP-OC-23,OC,9/22/2022,9,BSW,Seattle,47.65261,-122.31747,100,,Sunny,,,
LC264,,YH,6/21/2023,6,LBP,Mercer Island,47.59287,-122.22504,100,C,,,,
LC265,,YH,6/21/2023,6,LNM,Seattle,47.60471,-122.2827,100,C,,,,
LC266,,YH,6/21/2023,6,LNM,Seattle,47.60471,-122.2827,100,B,,,,
LC267,,YH,6/21/2023,6,LNM,Seattle,47.60471,-122.2827,100,A,,,,
LC268,,YH,6/21/2023,6,LNM,Seattle,47.60471,-122.2827,100,A,,,,
LC269,,YH,6/21/2023,6,LNM,Seattle,47.60471,-122.2827,100,C,,,,
LC270,,YH,6/21/2023,6,LNM,Seattle,47.60471,-122.2827,100,C,,,,
LC271,,YH,6/21/2023,6,LNM,Seattle,47.60471,-122.2827,100,C,,,,
LC272,,YH,6/21/2023,6,LNM,Seattle,47.60471,-122.2827,100,C,,,,
LC273,LC273,SK,7/1/2023,7,Cornet Bay,Whidbey,48.41005,-122.60241,100,B,,,Was really difficult to tell grade but only grabbed the ones that looked B+ish,
LC274,LC274,SK,7/1/2023,7,Cornet Bay,Whidbey,48.41005,-122.60241,100,B,,,Was really difficult to tell grade but only grabbed the ones that looked B+ish,
LC275,LC275,SK,7/1/2023,7,Cornet Bay,Whidbey,48.41005,-122.60241,100,B,,,Was really difficult to tell grade but only grabbed the ones that looked B+ish,
LC276,LC276,SK,7/1/2023,7,Cornet Bay,Whidbey,48.41005,-122.60241,100,B,,,Was really difficult to tell grade but only grabbed the ones that looked B+ish,
LC277,LC277,SK,7/1/2023,7,Cornet Bay,Whidbey,48.41005,-122.60241,100,B,,,Was really difficult to tell grade but only grabbed the ones that looked B+ish,
LC278,LC278,SK,7/1/2023,7,Cornet Bay,Whidbey,48.41005,-122.60241,100,B,,,Was really difficult to tell grade but only grabbed the ones that looked B+ish,
LC279,LC279,SK,7/1/2023,7,Cornet Bay,Whidbey,48.41005,-122.60241,100,B,,,Was really difficult to tell grade but only grabbed the ones that looked B+ish,
LC280,LC280,SK,7/1/2023,7,Cornet Bay,Whidbey,48.41005,-122.60241,100,B,,,Was really difficult to tell grade but only grabbed the ones that looked B+ish,
LC281,LC281,SK,7/1/2023,7,Cornet Bay,Whidbey,48.41005,-122.60241,100,B,,,Was really difficult to tell grade but only grabbed the ones that looked B+ish. Was 272 originally (double smaple),
LC282,UCP190,YH,6/1/2022,6,BSW,Seattle,47.65249022,-122.3175526,100,C,,,,
LC283,UCP191,YH,6/1/2022,6,BSW,Seattle,47.65249022,-122.3175526,100,C,,,,
LC284,UCP192,YH,6/1/2022,6,BSW,Seattle,47.65249022,-122.3175526,100,C,,,,
LC285,UCP193,YH,6/1/2022,6,BSW,Seattle,47.65249022,-122.3175526,100,C,,,,
LC286,UCP194,YH,6/1/2022,6,BSW,Seattle,47.65249022,-122.3175526,100,C,,,,
LC287A,UCP195,YH,6/1/2022,6,BSW,Seattle,47.65249022,-122.3175526,100,C,,,,
LC287B,,YH,6/1/2022,6,BSW,Seattle,47.65249022,-122.3175526,100,C,,,Originally named UCP198,
LC288A,UCP189,YH,6/1/2022,6,BSW,Seattle,47.65249022,-122.3175526,100,C,,,,
LC288B,,YH,6/1/2022,6,BSW,Seattle,47.65249022,-122.3175526,100,C,,,Originally named UCP189,
